,City,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Panaba,8,54,21.28,-88.27,73.74,8.52
1,Alofi,92,98,-19.06,-169.92,82.92,8.19
2,Sur,0,88,22.57,59.53,75.54,1.14
3,Upernavik,56,100,72.79,-56.15,8.67,8.52
4,Nanortalik,64,99,60.14,-45.24,25.5,5.5
5,Cape Town,20,93,-33.93,18.42,66.0,3.36
6,Atuona,92,100,-9.8,-139.03,80.94,14.12
7,Fatehpur,8,67,31.18,71.21,71.76,9.42
8,Emilio Carranza,0,91,19.97,-96.61,65.01,5.06
9,Arraial do Cabo,76,100,-22.97,-42.02,69.42,4.38
10,Isangel,75,62,-19.55,169.27,89.6,14.99
11,Hobart,75,36,-42.88,147.33,75.2,19.46
12,Kemi,75,69,65.74,24.56,39.2,25.28
13,Puerto Ayora,0,93,-0.74,-90.35,77.0,9.42
14,Punta Arenas,0,76,-53.16,-70.91,51.8,8.05
15,Faya,0,77,18.39,42.45,59.0,6.93
16,Mandal,68,65,48.82,106.5,19.29,7.74
17,Kwekwe,0,86,-18.93,29.81,53.85,2.82
18,Laguna,0,27,27.52,-110.01,72.93,4.5
19,Aksarka,32,74,66.56,67.8,18.48,5.95
20,Igrim,76,94,63.19,64.42,31.62,5.17
21,Jamestown,8,56,-33.21,138.6,70.95,15.35
22,Wilkes-Barre,90,46,41.25,-75.88,51.01,4.7
23,Norman Wells,75,51,65.28,-126.83,37.4,5.82
24,Kizhinga,0,36,51.85,109.91,28.11,4.61
25,Provideniya,90,86,64.42,-173.23,30.2,6.71
26,Ushuaia,40,47,-54.81,-68.31,57.2,18.34
27,Mataura,0,78,-46.19,168.86,62.01,5.01
28,Xiongzhou,75,77,32.34,118.83,70.0,4.47
29,Ceres,48,78,-29.88,-61.95,62.94,2.82
30,Vao,20,91,59.1,26.19,35.49,10.09
31,Geraldton,75,57,49.72,-86.95,19.4,2.24
32,Lebu,40,76,8.96,38.73,55.4,2.24
33,Yamada,75,42,36.58,137.08,55.0,2.24
34,Cockburn Town,92,100,21.46,-71.14,72.84,11.65
35,Castro,90,100,-42.48,-73.76,46.4,2.82
36,Saint-Philippe,90,81,45.36,-73.48,45.0,12.75
37,Avarua,32,83,-21.21,-159.78,80.6,3.36
38,Kodiak,90,93,39.95,-94.76,50.0,12.75
39,Kendari,44,82,-3.99,122.52,85.8,3.94
40,Bolshaya Sosnova,76,90,57.67,54.6,28.29,5.61
41,Cidreira,44,89,-30.17,-50.22,68.61,15.68
42,Sitka,12,89,37.17,-99.65,46.99,4.0
43,Puerto Baquerizo Moreno,0,97,-0.9,-89.6,80.58,8.86
44,Kavaratti,0,100,10.57,72.64,83.1,10.98
45,Baruun-Urt,48,35,46.68,113.28,28.47,11.77
46,Busselton,0,25,-33.64,115.35,71.01,15.68
47,Kalabagh,92,50,34.07,73.37,73.99,1.01
48,Hermanus,68,98,-34.42,19.24,64.0,2.37
49,Yellowknife,20,73,62.45,-114.38,25.0,3.36
50,Katsuura,75,43,33.93,134.5,55.4,3.36
51,Baykit,20,87,61.68,96.39,24.33,5.73
52,Benghazi,80,100,32.12,20.07,59.25,26.08
53,Trairi,88,100,-3.28,-39.27,80.85,7.85
54,Cedar City,1,45,37.68,-113.06,46.4,11.41
55,Funtua,0,33,11.52,7.31,70.05,7.4
56,Bambous Virieux,40,83,-20.34,57.76,81.0,9.17
57,Sawtell,75,69,-30.38,153.1,82.99,12.75
58,Jhalu,0,76,29.35,78.25,73.92,2.48
59,Clyde River,90,83,70.47,-68.59,-11.21,11.41
60,Comodoro Rivadavia,0,66,-45.87,-67.48,53.6,9.42
61,Talaya,0,51,55.79,84.89,37.99,11.18
62,Sal Rei,40,64,16.18,-22.92,69.8,12.75
63,Oistins,20,74,13.07,-59.53,78.8,16.11
64,Bredasdorp,68,93,-34.53,20.04,64.0,2.24
65,Saldanha,0,80,41.42,-6.55,35.58,4.72
66,Albany,90,42,42.65,-73.75,51.01,14.99
67,Port Alfred,88,94,-33.59,26.89,66.72,14.0
68,Ayan,12,89,40.67,33.6,16.05,2.48
